Date,Close/Last,Volume,Open,High,Low
02/08/2022,$239.91,2614999,$241.90,$242.89,$237.47
02/07/2022,$243.55,3948368,$242.41,$244.03,$240.3038
02/04/2022,$242.27,3569451,$242.72,$244.10,$241.22
02/03/2022,$244.81,3473574,$247.50,$248.12,$241.10
02/02/2022,$250.83,2586720,$245.35,$251.8756,$244.025
02/01/2022,$248.28,2449373,$247.05,$248.84,$243.2621
01/31/2022,$245.39,3237085,$243.27,$245.49,$241.915
01/28/2022,$245.10,3081139,$237.49,$245.22,$235.05
01/27/2022,$236.72,2178965,$239.98,$243.27,$235.76
01/26/2022,$237.86,2913234,$239.63,$242.43,$235.91
01/25/2022,$239.46,2525106,$236.81,$241.53,$235.12
01/24/2022,$240.42,3716587,$242.55,$243.76,$232.68
01/21/2022,$243.06,2788638,$246.88,$247.875,$242.12
01/20/2022,$243.13,2655380,$245.58,$247.95,$242.50
01/19/2022,$245.05,2487565,$246.33,$250.4091,$244.725
01/18/2022,$247.07,3241277,$242.75,$248.52,$242.09
01/14/2022,$244.12,2894255,$250.15,$250.54,$242.90
01/13/2022,$249.67,3726509,$254.07,$255.50,$248.55
01/12/2022,$255.92,6562799,$252.90,$257.4376,$250.97
01/11/2022,$262.32,2294001,$261.59,$262.41,$257.06
01/10/2022,$260.11,2576704,$258.19,$260.16,$255.89
01/07/2022,$259.50,2245240,$259.74,$261.25,$256.71
01/06/2022,$259.33,2863297,$260.10,$261.295,$255.46
01/05/2022,$260.65,3004151,$268.16,$268.77,$260.42
01/04/2022,$266.81,2340621,$269.00,$269.875,$263.58
01/03/2022,$271.73,2621415,$274.41,$274.41,$267.0637
12/31/2021,$276.22,1315736,$277.47,$278.73,$276.01
12/30/2021,$277.25,1181480,$279.19,$280.65,$276.37
12/29/2021,$278.42,1112299,$275.82,$279.36,$275.74
12/28/2021,$276.43,1034224,$279.34,$279.40,$275.8901
12/27/2021,$278.41,1677639,$275.04,$280.30,$274.72
12/23/2021,$273.10,2632221,$269.05,$275.27,$266.68
12/22/2021,$266.50,2720994,$264.74,$266.56,$262.85
