Date,Close/Last,Volume,Open,High,Low
05/12/2022,$52.175,4213044,$52.2475,$52.705,$51.54
05/11/2022,$51.905,3516786,$52.35,$53.565,$51.875
05/10/2022,$53.72,2776484,$53.725,$54.5725,$53.115
05/09/2022,$53.125,4423078,$54.055,$54.385,$52.97
05/06/2022,$55.675,5187530,$55.365,$56.265,$55.08
05/05/2022,$56.395,4392626,$56.42,$56.945,$56.025
05/04/2022,$56.955,3267674,$56.175,$57.10,$55.47
05/03/2022,$56.59,2393508,$56.61,$57.155,$56.195
05/02/2022,$56.92,3401186,$56.865,$57.165,$56.01
04/29/2022,$57.00,6459152,$57.24,$58.065,$56.84
04/28/2022,$55.095,3559272,$53.99,$55.4425,$53.96
04/27/2022,$55.78,2137478,$55.485,$56.3017,$55.235
04/26/2022,$54.89,2828962,$55.815,$56.125,$54.84
04/25/2022,$56.86,2668646,$55.535,$56.87,$55.505
04/22/2022,$55.35,2365832,$56.535,$56.535,$55.165
04/21/2022,$55.375,4305386,$57.23,$57.305,$55.16
04/20/2022,$57.77,1594076,$57.59,$58.245,$57.42
04/19/2022,$57.205,2391046,$57.015,$57.62,$56.7101
04/18/2022,$58.185,1188314,$58.61,$59.2912,$57.944
04/14/2022,$59.10,1771654,$59.535,$59.81,$59.01
04/13/2022,$59.44,2903232,$59.09,$59.555,$58.5475
04/12/2022,$58.70,5920626,$58.415,$59.125,$57.895
04/11/2022,$60.475,5004844,$60.34,$60.98,$59.9729
04/08/2022,$60.28,2578464,$60.00,$60.73,$59.955
04/07/2022,$60.905,4647800,$59.34,$61.08,$59.34
04/06/2022,$58.565,2827558,$57.555,$58.6253,$57.44
04/05/2022,$57.405,2003820,$57.23,$57.815,$57.20
04/04/2022,$56.905,2961542,$56.41,$57.01,$56.125
04/01/2022,$56.455,1883080,$55.78,$56.58,$55.69
03/31/2022,$55.525,1668024,$56.435,$56.555,$55.525
03/30/2022,$56.27,2362300,$55.85,$56.86,$55.795
03/29/2022,$55.10,2004936,$55.50,$55.76,$54.835
03/28/2022,$53.955,1058140,$53.33,$53.985,$53.285
03/25/2022,$53.255,1527204,$53.81,$53.885,$52.9175
03/24/2022,$54.49,1413052,$53.99,$54.52,$53.7458
03/23/2022,$54.685,1622814,$54.805,$55.245,$54.55
03/22/2022,$54.805,1954298,$54.93,$55.18,$54.42
03/21/2022,$55.095,2305526,$55.05,$55.725,$54.69
03/18/2022,$55.735,2721482,$54.37,$55.735,$54.285
03/17/2022,$54.925,1684164,$53.95,$54.97,$53.91
03/16/2022,$53.12,2371820,$52.75,$53.42,$52.04
03/15/2022,$51.225,2286166,$51.48,$51.60,$50.71
03/14/2022,$50.87,1392916,$51.04,$51.75,$50.84
03/11/2022,$50.63,5354262,$50.735,$51.525,$50.285
03/10/2022,$52.23,4426048,$51.73,$52.495,$51.555
03/09/2022,$52.53,5377134,$51.41,$52.81,$51.177
03/08/2022,$51.155,7352850,$51.015,$52.835,$50.24
03/07/2022,$50.425,5455580,$51.365,$51.59,$50.32
03/04/2022,$52.055,2401502,$50.885,$52.08,$50.885
03/03/2022,$52.135,1861776,$53.13,$53.665,$51.81
03/02/2022,$52.335,2701364,$51.34,$52.495,$51.00
03/01/2022,$51.80,2104544,$51.975,$52.52,$51.605
02/28/2022,$51.475,2163056,$51.155,$51.61,$50.83
02/25/2022,$51.375,2675236,$50.40,$51.6125,$50.33
02/24/2022,$49.475,2918502,$47.79,$49.535,$47.375
02/23/2022,$48.84,1413162,$49.575,$49.67,$48.755
02/22/2022,$49.62,1595182,$49.905,$50.575,$49.11
02/18/2022,$50.405,1177012,$50.94,$51.055,$50.105
