Date,Close/Last,Volume,Open,High,Low
12/07/2023,$146.50,6119624,$146.57,$147.10,$146.02
12/06/2023,$146.65,7610079,$147.01,$147.16,$145.64
12/05/2023,$146.76,11895820,$152.14,$152.61,$146.18
12/04/2023,$152.06,6578318,$151.77,$152.5332,$151.66
12/01/2023,$152.66,5685434,$153.33,$153.49,$152.23
11/30/2023,$153.52,9771509,$150.90,$153.63,$150.08
11/29/2023,$151.13,5342709,$152.29,$152.45,$150.99
11/28/2023,$152.29,6110455,$151.145,$152.772,$151.145
11/27/2023,$151.24,6021326,$151.52,$151.64,$150.74
11/24/2023,$151.38,2132494,$151.18,$151.74,$151.03
11/22/2023,$151.02,4373087,$150.10,$151.48,$150.10
11/21/2023,$149.61,7310387,$149.85,$150.01,$148.83
11/20/2023,$150.27,6857809,$150.21,$151.03,$149.66
11/17/2023,$151.07,8495710,$152.72,$152.84,$150.89
11/16/2023,$152.83,7590516,$151.99,$152.89,$151.31
11/15/2023,$151.42,7672848,$152.055,$152.39,$150.38
11/14/2023,$152.12,7982631,$152.55,$153.50,$151.6801
11/13/2023,$152.46,6297527,$151.445,$152.90,$151.445
11/10/2023,$151.41,5387350,$150.84,$151.44,$149.92
11/09/2023,$150.35,6581536,$149.74,$150.35,$149.12
11/08/2023,$150.01,4832618,$150.955,$151.20,$149.51
11/07/2023,$150.59,6003843,$150.92,$151.25,$150.12
11/06/2023,$150.94,6480898,$150.36,$151.25,$150.10
11/03/2023,$150.07,6587879,$151.79,$152.29,$149.615
11/02/2023,$151.44,5859285,$149.54,$151.65,$148.91
11/01/2023,$149.61,5896946,$150.68,$150.68,$149.21
10/31/2023,$150.03,6762155,$149.46,$150.255,$148.64
10/30/2023,$149.26,5412866,$147.90,$149.55,$147.54
10/27/2023,$147.16,8131875,$148.98,$149.95,$146.28
10/26/2023,$149.80,7582052,$151.05,$151.38,$149.74
10/25/2023,$150.60,6172937,$149.635,$151.19,$149.12
10/24/2023,$149.90,6322218,$148.12,$150.07,$148.07
10/23/2023,$148.15,5981784,$147.86,$149.50,$147.56
10/20/2023,$148.05,7284217,$149.05,$149.88,$147.92
10/19/2023,$148.25,8145959,$149.61,$150.28,$147.18
10/18/2023,$150.03,10508470,$150.06,$151.30,$148.77
10/17/2023,$146.26,6160115,$146.11,$146.825,$145.24
10/16/2023,$146.07,6509765,$145.86,$147.06,$145.46
10/13/2023,$144.69,7079323,$143.19,$145.03,$143.19
10/12/2023,$143.32,5965604,$142.79,$143.93,$141.66
10/11/2023,$143.00,5469148,$145.14,$145.56,$142.56
10/10/2023,$144.78,5988917,$143.98,$145.22,$143.72
10/09/2023,$143.36,5062170,$143.36,$143.97,$141.60
10/06/2023,$144.09,7406682,$143.60,$144.555,$141.45
10/05/2023,$143.80,5205662,$145.68,$146.0943,$143.69
10/04/2023,$145.97,4727849,$145.59,$146.31,$144.93
10/03/2023,$145.49,4670620,$145.17,$146.49,$145.01
